@RELATION priming_system

@ATTRIBUTE temperature  NUMERIC
@ATTRIBUTE QB   		NUMERIC
@ATTRIBUTE QB03         NUMERIC
@ATTRIBUTE MZ03         NUMERIC
@ATTRIBUTE bridge_resistance NUMERIC
@ATTRIBUTE electric_strength NUMERIC
@ATTRIBUTE class        {合格,不合格}

@DATA
15,16,60,62.40,0.97,502.76,合格
15,18,61,62.88,1.09,503.64,合格
15,15,61,62.30,1.09,494.47,合格
15,16,60,58.52,1.09,516.55,不合格
15,18,59,57.82,1.13,494.47,不合格
15,18,59,57.86,1.01,508.30,合格
15,15,61,57.48,1.20,494.04,合格
15,16,60,57.53,1.08,518.97,不合格
15,14,59,57.61,0.95,515.47,合格
15,15,62,57.18,1.03,499.14,不合格
15,15,57,57.10,1.01,507.38,不合格
15,18,58,59.45,1.00,503.51,不合格
15,18,62,57.05,1.03,493.20,不合格
15,18,57,62.21,1.07,482.61,合格
15,18,63,57.09,0.96,503.68,合格
15,16,61,62.04,1.12,513.00,不合格
15,14,62,59.04,1.06,504.16,不合格
15,18,62,57.70,1.19,505.89,合格
15,18,58,62.42,1.06,488.26,合格
15,15,57,62.65,1.00,497.86,合格
15,14,60,62.60,1.04,498.06,不合格
15,15,61,62.21,1.02,491.56,不合格
15,15,63,57.12,1.12,510.45,合格
15,16,58,60.50,1.14,488.54,不合格
15,17,63,57.78,1.05,508.49,合格
15,15,63,57.28,1.17,491.16,合格
15,17,62,61.94,1.07,509.23,不合格
15,15,60,57.05,0.95,521.70,合格
15,15,62,58.71,1.05,505.94,不合格
15,17,60,58.20,0.99,509.69,不合格
15,14,61,57.68,0.96,521.04,合格
15,15,62,57.94,1.12,495.57,不合格
15,16,58,59.22,1.09,501.47,不合格
15,14,62,61.97,1.11,507.55,不合格
15,15,58,57.39,0.93,501.14,合格
15,18,60,57.79,0.97,477.65,合格
15,18,58,57.87,1.20,520.95,合格
15,15,60,57.19,1.04,508.89,合格
15,17,58,62.57,1.01,490.51,不合格
15,17,60,59.26,1.10,516.89,不合格
15,17,57,62.30,0.92,507.77,合格
15,16,60,57.36,1.17,519.79,合格
15,17,57,61.02,1.07,515.06,不合格
15,15,60,62.85,1.10,509.05,合格
15,17,57,57.48,1.09,488.39,不合格
15,15,62,58.19,0.98,481.17,不合格
15,17,59,57.59,1.00,518.49,不合格
15,16,62,57.22,0.90,502.48,合格
15,16,62,62.89,1.15,502.90,合格
15,16,61,60.80,1.00,488.51,不合格
15,15,62,62.36,1.03,515.34,合格
15,14,61,62.56,0.93,485.45,合格
15,15,57,62.21,1.18,524.62,合格
15,18,59,57.81,1.20,519.17,合格
15,17,58,62.77,0.92,505.34,合格
15,18,60,57.35,1.16,503.22,合格
15,14,59,57.13,1.06,501.20,不合格
15,16,59,61.56,0.98,486.05,不合格
15,16,57,60.71,0.97,483.73,不合格
15,16,61,57.48,0.94,512.94,合格
15,17,60,59.95,1.07,509.60,不合格
15,18,61,57.76,1.14,509.65,合格
15,17,62,59.95,0.95,488.40,不合格
15,15,63,60.82,1.12,483.99,不合格
15,17,57,62.88,1.01,487.04,不合格
15,18,61,57.37,1.04,516.34,不合格
15,15,58,58.35,0.97,485.80,不合格
15,17,63,58.00,1.08,498.75,合格
15,16,62,60.64,1.07,488.01,不合格
15,17,58,59.64,1.00,509.34,不合格
15,15,62,57.58,1.18,505.26,合格
15,18,58,58.43,1.02,488.93,不合格
15,14,62,57.68,1.00,511.09,合格
15,17,60,61.64,1.02,494.86,不合格
15,18,59,57.06,1.18,514.10,合格
15,14,57,61.79,1.13,481.58,不合格
15,17,58,57.25,1.12,475.14,合格
15,16,59,62.45,1.08,482.49,合格
15,14,63,61.55,1.00,512.33,不合格
15,18,63,57.71,1.19,492.78,合格
15,17,61,57.11,1.14,489.54,合格
15,15,61,57.37,0.98,511.91,不合格
15,18,58,57.82,1.06,489.01,合格
15,14,62,57.91,1.14,476.37,合格
15,15,63,59.03,1.11,512.10,不合格
15,17,61,61.70,1.04,513.09,不合格
15,15,58,57.36,0.98,476.38,合格
15,17,59,58.20,1.02,501.14,不合格
15,17,58,61.49,1.01,512.48,不合格
15,17,62,57.15,1.13,504.96,合格
15,16,61,62.82,1.03,491.89,合格
15,17,61,57.48,1.00,502.04,合格
15,16,58,57.95,0.97,506.43,合格
15,15,58,57.46,0.95,485.36,合格
15,15,62,61.78,1.02,513.82,不合格
